type,icon,x,y,z,item,price,comment,image,ytVideo,ytStart,ytEnd
chest,,7846.037,29591.244,4081.624,40) BuySwordDamage+3_C,,,,,,
chest,,66436.773,32351.225,3132.062,41) BuyGunComboDamage+25_C,,,,,,
chest,health,25739.547,-11545.776,832.455,43) BuyHealth+5_C,,,,,,
chest,shoes,-30162.654,-20127.658,-654.629,44) BuySmashdown_C,,,,,,
chest,health,-29171.682,-26324.574,-1260.026,45) BuyHealth+5_C,,,,,,
chest,health_regen_max,-2191.606,-37777,123.485,46) BuyHealthRegenMax5_C,,,,,,
chest,sword_damage,-29697.012,-16193.373,241.715,51) BuySwordDamage+02_C,,,,,,
chest,,-51711.617,-42995.211,-507.057,53) BuySwordCriticalDamageChance_C,,,,,,
chest,,-27786.301,24147.111,414.646,54) BuySmashdownDamage+33_C,,,,,,
chest,gun_upgrade,-2269.962,-15953.238,-6484.873,55) BuyGunDamage+5_C,,,,,,
chest,gun_upgrade,-37006.82,-33068.102,413.29,56) BuyGunAltDamagex2_C,,,,,,
chest,,-23865.82,-29244.178,-1521.304,57) BuySwordCriticalDamageChance_C,,,,,,
chest,,-3210.875,-34425.426,15.371,58) BuySmashdownDamage+33_C,,,,,,
chest,,1377.625,-36866.691,-139.7,59) BuySmashdownDamage+33_C,,,,,,
chest,health_regen_max,-10899.859,-47549.594,-164.209,61) BuyHealthRegenMax5_C,,,,,,
chest,,-24820.957,-38836.055,-222.333,62) BuyGunCoin_C,,,,,,
chest,health_regen_max,-38748.125,-44794.406,-2732.011,63) BuyHealthRegenMax5_C,,,,,,
chest,gun_upgrade,-56299.906,-47662.922,-933.222,65) BuyGunAltDamagex2_C,,,,,,
chest,,-26061.168,-44774.105,-839.965,66) BuyGunCriticalDamageChance_C,,,,,,
chest,,9820.477,-15275.763,1300.603,67) BuySmashdownRadius+_C,,,,,,
chest,,-3873.045,-20955.08,-1822.768,68) BuySwordCriticalDamageChance_C,,,,,,
chest,sword_damage,-47174.035,-45261.926,1164.335,70) BuySwordDamage+02_C,,,,,,
chest,health,2982.636,-25946.324,2000.692,71) BuyHealth+5_C,,,,,,
chest,,21131.691,-39136.926,7568.775,72) BuySwordRefireRate-33_C,,,,,,
chest,gun_upgrade,6647.054,24735.771,-3441.664,73) BuyGunDamage+5_C,,,,,,
chest,,-294.413,-28450.926,-513.717,74) BuySwordCriticalDamageChance_C,,,,,,
chest,,23031.281,-33032.781,-952.282,75) BuySmashdownDamage+33_C,,,,,,
chest,,-1688.936,-24717.936,-1760.6,76) BuySwordDamage+3_C,,,,,,
chest,,-35746.152,42475.238,-6859.375,77) BuyForceBeam_C,,,,,,
chest,sword_damage,-58152.453,-38364.148,-2302.031,78) BuySwordDamage+02_C,,,,,,
chest,sword_damage,5326.137,3897.544,1430.971,79) BuySwordDamage+02_C,,,,,,
chest,,-36217.895,39385.262,-2993.779,81) BuyForceCubeStomp_C,,,,,,
chest,,-17126.389,16674.77,3571.804,82) BuyCoinMagnet_C,,,,,,
chest,,-41437.039,38106.727,411.783,83) BuySwordCriticalDamageChance_C,,,,,,
chest,,-14410.388,32020.305,-2119.852,84) BuySwordHoly2_C,,,,,,
chest,,19250,27460,1835,86) BuyHealth+15_C,,,,,,
chest,,-26623.299,-38503.133,-235.522,87) BuyGunCriticalDamageChance_C,,,,,,
chest,,-56068.816,36871.316,389.719,88) BuyHealth+15_C,,,,,,
chest,,-69602.711,52174.012,701.207,89) BuySwordDamage+3_C,,,,,,
chest,health,-36709.477,39459.094,-4993.426,90) BuyHealth+5_C,,,,,,
chest,gun_upgrade,-29499.791,-13819.646,-2221.27,91) BuyGunDamage+5_C,,,,,,
chest,,8075.155,11155.128,507.317,92) BuyGunHoly1_C,,,,,,
chest,gun_upgrade,27421.516,-23146.896,455.799,93) BuyGunDamage+5_C,,,,,,
chest,,-4666.815,-18745.646,477.262,94) BuySmashdownRadius+_C,,,,,,
chest,,-43824.047,-44290.797,-1171.623,95) BuySmashdownRadius+_C,,,,,,
chest,,-48456.258,-51346.297,1157.07,96) BuySmashdownRadius+_C,,,,,,
chest,,-54282.664,60180.215,537.211,97) BuySmashdownRadius+_C,,,,,,
chest,,-53865.4729999999,41498.156,2371.089,98) BuySmashdownRadius+_C,,,,,,
chest,health_regen_speed,-39243.766,58460.355,3342.824,99) BuyHealthRegenSpeed_C,,,,,,
chest,,-17795.332,39146.715,392.967,100) BuySmashdownRadius+_C,,,,,,
chest,,-15900.579,43893.934,2372.74,101) BuyGunComboDamage+25_C,,,,,,
chest,,-64200.488,63076.57,1378.386,102) BuyGunComboDamage+25_C,,,,,,
chest,,-12871.307,-5707.309,1128.059,103) BuyGunDamage+1_C,,,,,,
chest,,-34467.23,-17135.998,1577.424,104) BuyGunDamage+1_C,,,,,,
chest,,-18221.795,-16791.982,1215.119,105) BuyGunDamage+1_C,,,,,,
chest,,-65869.32,-37686.992,3493.422,106) BuyGunDamage+1_C,,,,,,
chest,,-2740.547,-27832.703,7813.555,107) BuyGunComboDamage+25_C,,,,,,
chest,health,12744.009,-23492.605,567.907,108) BuyHealth+5_C,,,,,,
chest,,-2867.939,-38824.625,382.106,109) BuyGunComboDamage+25_C,,,,,,
chest,sword_damage,-44251.363,51285.051,2376.92,110) BuySwordDamage+1_C,,,,,,
chest,sword_damage,-54718.449,-33359.746,4186.8,111) BuySwordDamage+1_C,,,,,,
chest,health,525.322,-39082.746,-182.002,112) BuyHealth+5_C,,,,,,
chest,,2568.157,-26443.373,-53.847,113) BuySwordDamage+3_C,,,,,,
chest,,25784.553,34034.941,1173,114) StolenCoins_C,,,,,,
chest,gun_upgrade,-15185.253,-43593.789,1723.478,116) BuyGunDamage+5_C,,,,,,
chest,,19598,19336,779,117) BuyHealth+2_C,,,,,,
chest,gun_upgrade,51670.094,7147.971,3556.568,118) BuyGunDamage+5_C,,,,,,
chest,,44702.309,-19590.268,-587.103,119) BuyForceCubeBeam_C,,,,,,
chest,health,35871.41,-13930.877,2466.503,120) BuyHealth+5_C,,,,,,
chest,,39585.828,10624.031,3090.689,121) BuyTranslocatorDamagex3_C,,,,,,
chest,,51301.273,15619.442,3129.595,122) BuyTranslocatorShotForce_C,,,,,,
chest,,51140.766,12290.258,6159.918,123) BuyGunComboDamage+25_C,,,,,,
chest,,40305.867,2748.135,3414.068,124) BuyTranslocatorCoolDownHalf_C,,,,,,
chest,,38553.406,16012.363,3101.882,125) BuyTranslocatorDamagex3_C,,,,,,
chest,health,-7045.003,20044.039,625.265,126) BuyHealth+5_C,,,,,,
chest,gun_upgrade,23898.383,25215.561,1316.662,130) BuyGunAltDamagex2_C,,,,,,
chest,gun_upgrade,53784.457,9021.771,5603.298,133) BuyGunDamage+5_C,,,,,,
chest,sword_damage,28638.166,-37658.641,3881.481,134) BuySwordDamage+1_C,,,,,,
chest,,-28214.529,-41590.078,-284.932,135) BuyGunComboDamage+25_C,,,,,,
chest,,20784.221,-26357.959,200.557,136) MoonTake_C,,,,,,
chest,,21744.973,-32352.047,-49.863,137) MoonTake_C,,,,,,
chest,gun_upgrade,13519.489,-11139.913,-605.716,138) BuyGunDamage+5_C,,,,,,
chest,,8227.36,30531.195,4123.068,139) BuySwordCriticalDamageChance_C,,,,,,
chest,,-8026.848,-39472.445,1903.21,142) BuyWalletx15_C,,,,,,
chest,,-32797.258,4337.059,812.634,143) BuyGunSplashDamage_C,,,,,,
chest,sword_damage,-47968.09,-47494.66,-58.144,144) BuySwordDamage+1_C,,,,,,
chest,belt,-60588.039,-41458.199,-1552.319,145) BuyBelt_C,,,,,,
chest,,-26360.195,-40128.234,-1104,148) BuyGunComboDamage+25_C,,,,,,
chest,,367.096,-35729.8479999999,-151.613,149) BuyGunHoly2_C,,,,,,
chest,health_regen_max,30125.029,30090.172,784.245,150) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,38657.27,-39268,5562.184,151) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,86401.992,28272.693,11015.41,152) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,4125,7326,2724,154) BuyHealthRegenMax5_C,,,,,,
chest,,1933,-47807,2225,155) BuySmashdownRadius+_C,,,,,,
chest,,-39268.801,-46182.676,2034.147,156) BuySilentFeet_C,,,,,,
chest,,-8534.437,-59401.328,1102,157) BuyGraveDetector_C,,,,,,
chest,,16598.027,75514.5,3609.284,158) BuyUpgradeGraveNum_C,,,,,,
chest,,-44223.922,19500.938,1000.969,159) BuyForceCubeStompGrave3_C,,,,,,
chest,gun_upgrade,86925.633,-5777.71,5673.552,160) BuyGunAltDamagex2_C,,,,,,
chest,,42711.4729999999,27414.281,1831.26,161) BuyMoreLoot_C,,,,,,
chest,,1377.625,-38565.918,1643.745,162) BuyWalletx15_C,,,,,,
chest,health_regen_max,9469.796,1173.689,851.747,163) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,22977.734,-29163.387,-687.144,164) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,-5570.212,51178.852,656.765,165) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,-25940.035,45188.141,242.192,166) BuyHealthRegenMax5_C,,,,,,
chest,health_regen_max,-5064.73,34155.141,2749.981,167) BuyHealthRegenMax5_C,,,,,,
chest,,64139.891,-20231.436,12868.122,168) BuyWalletx2_C,,,,,,
chest,health,17640.164,-15349.245,968.758,169) BuyHealth+5_C,,,,,,
chest,health,23125.062,-29122.088,238.645,170) BuyHealth+5_C,,,,,,
chest,health_regen_max,25197.795,35811.742,2307.267,171) BuyHealthRegenMax5_C,,,,,,
chest,sword_damage,8870.535,-22882.773,600.634,172) BuySwordDamage+1_C,,,,,,
shop,,-41463.8763,38221.8001,,1) sword critical damage +5%,,,,,,
shop,,-39217.7898,58629.1003,,2) regeneration speed x2,,,,,,
shop,,-64117.263,63014.3168,,3) combo damage +25,,,,,,
shop,,-54341.4389,60233.4478,,4) stomp radius +50cm,,,,,,
shop,,-67304.5667,52340.0581,,5) (shop) ammo refill speed +66%,,,,,,
shop,,-67325.958,51569.9713,,6) (shop) stomp damage +33%,,,,,,
shop,,-62213.4373,38884.9304,,7) 28 coins,,,,,,
shop,,-56202.482,36874.1482,,8) max health +15,,,,,,
shop,,-17163.3595,16702.1523,,9) coin magnet,,,,,,
shop,,5340.2881,3910.15490000001,,10) sword damage +2,,,,,,
shop,,9468.80900000001,1172.06850000001,,11) health regeneration +5,,,,,,
shop,,8228.11360000001,-6913.84289999999,,12) regeneration speed x2,,,,,,
shop,,-2895.3624,-38893.8364,,13) combo damage +25,,,,,,
shop,,1040.63680000001,-39107.7494,,14) 10 coins,,,,,,
shop,,1618.2019,-41139.9229,,15) max health +5,,,,,,
shop,,2644.98430000001,-5159.75629999999,,16) sword damage +3,,,,,,
shop,,-2168.0582,-37802.8801,,17) health regeneration +5,,,,,,
shop,,1382.8976,-38615.7495,,18) max coins x1.5,,,,,,
shop,,3992.63620000001,-45567.922,,19) max health +5,,,,,,
shop,sword_damage,-719.900,2399.570,,,,,,,,
shop,gun_upgrade,-711.200,2713.820,,,,,,,,
shop,awesome,-584.090,2167.670,,,,,,,,
shop,health,-584.090,2138.440,,,,,,,,
shop,wallet,-328.880,2213.210,,,,,,,,
shop,wallet,-23152.800,-11427.280,,,,,,,,
shop,gun_upgrade,-23132.650,-12228.940,,,,,,,,
shop,sword_damage,-23111.140,-12068.880,,,,,,,,
shop,gun_upgrade,-23108.520,-12400.220,,,,,,,,
shop,gun_red,-26838.710,-41331.770,,,,,,,,
shop,sword,-1966.110,33053.550,,,,,,,,
shop,wallet,22527.740,-17067.340,,,,,,,,
shop,gun_upgrade,9659.920,21483.730,,,,,,,,
shop,health,9770.740,21631.450,,,,,,,,
shop,,9875.430,21754.610,,,,,,,,
shop,health_regen_max,9990.290,21884.680,,,,,,,,
shop,gun_upgrade,10151.380,22073.940,,,,,,,,
shop,sword_damage,-24.710,-33904.820,,,,,,,,
shop,speed,66.110,-33784.800,,,,,,,,
shop,wallet,208.870,-33595.290,,,,,,,,
shop,sword_damage,286.570,-33551.320,,,,,,,,
shop,double_jump,-27.530,-33896.340,,,,,,,,
shop,triple_jump,38.600,33851.000,,,,,,,,
shop,force_cube,120.000,-33718.450,,,,,,,,
shop,gun_upgrade,-14842.820,-11401.900,,,,,,,,
shop,sword_damage,-18459.930,-36473.080,,,,,,,,
shop,shield_breaker,-18389.980,-36705.430,,,,,,,,
shop,gun_upgrade,-18366.140,-36877.850,,,,,,,,
shop,gun_upgrade,-18324.550,-37103.540,,,,,,,,
